ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-05-23,35849.108083501895,25325.407400582357,50079.80748422625,35849.108083501895,35849.108083501895,2283.0625598106717,2283.0625598106717,2283.0625598106717,2283.0625598106717,2283.0625598106717,2283.0625598106717,0.0,0.0,0.0,38132.170643312566
2018-05-24,35814.1962897311,25250.820619474773,49215.05795428958,35814.1962897311,35814.1962897311,1050.829968394486,1050.829968394486,1050.829968394486,1050.829968394486,1050.829968394486,1050.829968394486,0.0,0.0,0.0,36865.02625812559
2018-05-25,35779.28449596032,23524.706915895236,48570.75755059453,35779.28449596032,35779.28449596032,334.50203127535514,334.50203127535514,334.50203127535514,334.50203127535514,334.50203127535514,334.50203127535514,0.0,0.0,0.0,36113.78652723567
2018-05-26,35744.37270218953,17525.45980028512,41992.3779188935,35744.37270218953,35744.37270218953,-5651.2454589601,-5651.2454589601,-5651.2454589601,-5651.2454589601,-5651.2454589601,-5651.2454589601,0.0,0.0,0.0,30093.12724322943
2018-05-27,35709.46090841875,19729.84677174037,43352.356727816885,35709.46090841875,35709.46090841875,-4473.224692346692,-4473.224692346692,-4473.224692346692,-4473.224692346692,-4473.224692346692,-4473.224692346692,0.0,0.0,0.0,31236.236216072055
2018-05-28,35674.549114647954,25950.583300455663,50871.68548989205,35674.549114647954,35674.549114647954,3353.760548948198,3353.760548948198,3353.760548948198,3353.760548948198,3353.760548948198,3353.760548948198,0.0,0.0,0.0,39028.309663596156
2018-05-29,35639.63732087717,26157.32504168409,51340.80228474936,35639.63732087717,35639.63732087717,3102.3150428823,3102.3150428823,3102.3150428823,3102.3150428823,3102.3150428823,3102.3150428823,0.0,0.0,0.0,38741.95236375947
2018-05-30,35604.725527106384,24669.605719233,49735.59197523153,35604.725527106384,35604.725527106384,2283.062559810321,2283.062559810321,2283.062559810321,2283.062559810321,2283.062559810321,2283.062559810321,0.0,0.0,0.0,37887.788086916706
2018-05-31,35569.8137333356,23564.545937853647,49386.53882419469,35569.8137333356,35569.8137333356,1050.8299683923526,1050.8299683923526,1050.8299683923526,1050.8299683923526,1050.8299683923526,1050.8299683923526,0.0,0.0,0.0,36620.64370172795
2018-06-01,35534.901939564814,23024.737486024125,48774.720926350405,35534.901939564814,35534.901939564814,334.50203127046973,334.50203127046973,334.50203127046973,334.50203127046973,334.50203127046973,334.50203127046973,0.0,0.0,0.0,35869.40397083529
2018-06-02,35499.99014579402,17804.87512974487,42360.70496855138,35499.99014579402,35499.99014579402,-5651.245458960487,-5651.245458960487,-5651.245458960487,-5651.245458960487,-5651.245458960487,-5651.245458960487,0.0,0.0,0.0,29848.744686833536
